tasa_cumplimiento,pagos_puntuales,pagos_atrasados,defaults,atraso_max_periodos,defaults_tras_cobro,antiguedad_periodos,disputas_perdidas,incumplio
857142,3,3,1,1227436,1,7,0,0
666666,1,3,2,1430909,2,6,2,1
1000000,4,1,0,683087,0,5,0,0
857142,5,1,1,1082914,0,7,0,0
1000000,3,1,0,778977,0,4,0,0
800000,4,0,1,0,0,5,0,0
750000,2,1,1,749086,0,4,0,0
571428,2,2,3,519016,2,7,0,0
1000000,5,0,0,0,0,5,0,0
714285,4,1,2,107064,0,7,0,0
600000,1,2,2,1565983,0,5,0,0
666666,2,2,2,1278176,2,6,0,0
857142,5,1,1,569131,1,7,0,0
1000000,7,1,0,938462,0,8,2,0
833333,5,0,1,0,1,6,0,0
1000000,1,1,0,1303934,0,2,0,1
750000,4,2,2,2188878,2,8,0,0
571428,3,1,3,38518,2,7,0,0
400000,2,0,3,0,0,5,0,1
1000000,2,0,0,0,0,2,0,0
875000,5,2,1,671457,1,8,0,0
800000,3,1,1,1195387,1,5,0,0
714285,4,1,2,607648,0,7,2,0
1000000,5,0,0,0,0,5,0,0
1000000,4,0,0,0,0,4,0,0
500000,1,0,1,0,0,2,0,0
1000000,6,0,0,0,0,6,0,0
1000000,3,2,0,345899,0,5,0,0
1000000,4,0,0,0,0,4,0,0
833333,3,2,1,466549,1,6,1,0
571428,3,1,3,578536,3,7,0,1
1000000,3,0,0,0,0,3,0,0
1000000,4,0,0,0,0,4,0,0
500000,1,3,4,1018912,3,8,2,1
1000000,7,0,0,0,0,7,0,0
1000000,5,3,0,217089,0,8,0,0
714285,2,3,2,2307134,2,7,0,1
1000000,5,1,0,52496,0,6,0,0
666666,3,1,2,877302,1,6,0,0
1000000,4,2,0,1640152,0,6,0,0
833333,5,0,1,0,1,6,0,0
1000000,5,0,0,0,0,5,0,0
1000000,4,0,0,0,0,4,0,0
800000,1,3,1,1644790,1,5,0,0
750000,3,3,2,755444,2,8,0,0
1000000,2,0,0,0,0,2,1,0
1000000,2,1,0,1147444,0,3,0,0
800000,3,1,1,422671,0,5,0,0
1000000,6,0,0,0,0,6,0,0
666666,1,1,1,743527,0,3,1,0
750000,5,1,2,802382,1,8,0,0
625000,3,2,3,405816,2,8,0,1
333333,1,1,4,68455,0,6,0,0
1000000,2,0,0,0,0,2,0,0
1000000,6,2,0,1211769,0,8,0,0
857142,4,2,1,1331999,1,7,0,0
1000000,7,1,0,556704,0,8,0,0
1000000,6,0,0,0,0,6,0,0
500000,1,0,1,0,1,2,0,0
1000000,3,0,0,0,0,3,0,0
1000000,2,0,0,0,0,2,0,0
1000000,6,0,0,0,0,6,0,0
857142,6,0,1,0,0,7,0,0
500000,2,0,2,0,2,4,0,0
333333,1,0,2,0,1,3,0,1
666666,4,0,2,0,2,6,0,0
750000,1,5,2,1550183,2,8,0,0
750000,6,0,2,0,2,8,0,1
0,0,0,2,0,2,2,0,0
571428,4,0,3,0,1,7,0,1
1000000,4,1,0,215258,0,5,0,0
1000000,4,4,0,1155943,0,8,0,0
750000,4,2,2,1031442,2,8,0,0
1000000,7,0,0,0,0,7,0,0
750000,2,1,1,342384,1,4,0,0
500000,2,0,2,0,1,4,0,0
750000,4,2,2,427022,0,8,0,0
750000,1,2,1,1450391,0,4,0,0
1000000,4,0,0,0,0,4,0,0
833333,5,0,1,0,0,6,0,0
1000000,1,1,0,768489,0,2,0,0
750000,2,1,1,1219817,1,4,2,0
1000000,2,2,0,1021539,0,4,3,0
857142,4,2,1,1135381,1,7,0,0
666666,3,1,2,214656,2,6,0,0
625000,0,5,3,884145,3,8,0,0
1000000,1,0,0,0,0,1,3,0
600000,1,2,2,1181764,1,5,2,1
714285,2,3,2,1481023,2,7,0,1
750000,3,0,1,0,0,4,0,0
833333,5,0,1,0,0,6,2,0
666666,0,2,1,1314872,0,3,0,1
833333,5,0,1,0,1,6,0,0
1000000,6,0,0,0,0,6,0,0
600000,2,1,2,1601000,0,5,0,0
500000,3,1,4,856339,4,8,0,1
666666,4,0,2,0,0,6,0,0
666666,2,0,1,0,0,3,0,0
1000000,4,0,0,0,0,4,0,0
666666,3,1,2,1612906,1,6,0,0
1000000,3,1,0,179185,0,4,0,0
1000000,4,1,0,690463,0,5,0,0
1000000,3,1,0,300641,0,4,0,0
1000000,1,0,0,0,0,1,0,0
1000000,5,1,0,52919,0,6,0,0
1000000,3,0,0,0,0,3,0,0
500000,2,2,4,1601792,2,8,0,1
750000,3,3,2,1397713,2,8,0,0
857142,2,4,1,1124625,1,7,0,0
600000,2,1,2,797966,0,5,0,0
1000000,5,0,0,0,0,5,0,0
1000000,2,1,0,1035555,0,3,0,0
833333,4,1,1,1183968,0,6,0,0
666666,1,3,2,1469370,0,6,0,0
600000,3,0,2,0,0,5,0,0
714285,3,2,2,453039,1,7,0,0
333333,1,0,2,0,1,3,1,0
285714,1,1,5,1044942,0,7,0,1
500000,0,1,1,866490,0,2,0,0
500000,1,0,1,0,0,2,0,0
1000000,0,0,0,0,0,0,0,0
1000000,1,0,0,0,0,1,0,0
666666,1,1,1,769724,0,3,3,1
1000000,4,2,0,744776,0,6,0,0
800000,4,0,1,0,0,5,0,0
1000000,5,1,0,444695,0,6,1,0
800000,2,2,1,1352640,0,5,0,0
833333,1,4,1,2157393,1,6,0,1
1000000,4,0,0,0,0,4,0,0
1000000,2,0,0,0,0,2,0,0
333333,0,1,2,288631,1,3,0,1
0,0,0,2,0,2,2,0,0
600000,0,3,2,2343734,2,5,0,1
833333,5,0,1,0,1,6,0,0
1000000,2,0,0,0,0,2,0,0
875000,6,1,1,323401,1,8,0,0
1000000,6,2,0,915702,0,8,0,0
800000,4,0,1,0,1,5,0,0
800000,4,0,1,0,0,5,0,0
1000000,5,0,0,0,0,5,0,0
1000000,1,1,0,1929696,0,2,0,0
875000,7,0,1,0,1,8,0,0
1000000,2,1,0,810153,0,3,0,0
250000,0,2,6,1473257,6,8,1,1
1000000,7,0,0,0,0,7,0,0
1000000,4,1,0,346440,0,5,0,0
750000,5,1,2,1625890,0,8,0,0
1000000,3,0,0,0,0,3,0,0
800000,3,1,1,561126,1,5,0,0
714285,2,3,2,1084804,2,7,0,0
875000,5,2,1,1001922,1,8,0,0
875000,4,3,1,935351,1,8,0,0
1000000,6,1,0,603566,0,7,0,0
600000,2,1,2,877338,1,5,0,0
625000,2,3,3,1608351,2,8,0,0
1000000,5,1,0,255163,0,6,0,0
250000,0,1,3,471144,3,4,1,1
1000000,7,0,0,0,0,7,0,0
1000000,0,0,0,0,0,0,0,0
375000,1,2,5,1606151,4,8,0,1
1000000,5,2,0,1436818,0,7,0,0
714285,1,4,2,1567657,1,7,0,1
750000,3,0,1,0,1,4,0,0
1000000,2,0,0,0,0,2,0,0
750000,4,2,2,319786,2,8,0,0
500000,2,1,3,131786,0,6,0,0
666666,2,2,2,1373759,2,6,0,1
833333,5,0,1,0,0,6,0,0
1000000,7,0,0,0,0,7,0,0
1000000,8,0,0,0,0,8,0,0
500000,3,0,3,0,3,6,0,1
625000,2,3,3,1277863,3,8,0,1
800000,2,2,1,892803,1,5,0,1
1000000,1,2,0,1378061,0,3,0,0
833333,0,5,1,1689377,1,6,0,1
333333,0,1,2,144339,2,3,0,0
875000,5,2,1,746624,0,8,0,0
857142,4,2,1,1905157,0,7,0,1
1000000,6,2,0,1188466,0,8,0,0
1000000,6,1,0,876333,0,7,0,0
800000,3,1,1,1457732,0,5,0,0
625000,2,3,3,1168437,3,8,0,0
571428,3,1,3,1219119,2,7,0,1
714285,3,2,2,834423,0,7,0,1
1000000,7,1,0,1120112,0,8,0,0
600000,1,2,2,1529508,2,5,0,1
1000000,3,0,0,0,0,3,0,0
1000000,1,1,0,132414,0,2,0,0
857142,3,3,1,439680,1,7,0,1
1000000,6,0,0,0,0,6,0,0
714285,4,1,2,151905,2,7,0,0
1000000,4,1,0,828795,0,5,0,0
0,0,0,2,0,0,2,1,0
857142,6,0,1,0,1,7,0,0
800000,2,2,1,280585,1,5,3,0
1000000,3,0,0,0,0,3,0,0
1000000,4,2,0,1399016,0,6,0,0
750000,3,0,1,0,1,4,0,0
1000000,7,1,0,543392,0,8,0,0
750000,1,5,2,1426774,2,8,0,0
800000,4,0,1,0,0,5,0,0
375000,3,0,5,0,1,8,0,1
1000000,7,0,0,0,0,7,0,0
1000000,7,0,0,0,0,7,0,0
800000,3,1,1,788980,0,5,0,1
750000,1,5,2,1769725,1,8,0,1
571428,4,0,3,0,1,7,0,0
666666,3,1,2,248925,2,6,3,0
571428,2,2,3,791227,3,7,0,1
875000,7,0,1,0,1,8,2,0
800000,3,1,1,304259,1,5,0,0
1000000,8,0,0,0,0,8,0,0
625000,4,1,3,1515788,1,8,0,0
1000000,1,2,0,1746481,0,3,0,1
1000000,4,0,0,0,0,4,0,0
833333,5,0,1,0,0,6,1,0
1000000,3,0,0,0,0,3,1,0
666666,1,3,2,2286377,1,6,0,0
625000,2,3,3,1178800,2,8,0,1
750000,4,2,2,310791,1,8,0,0
1000000,2,0,0,0,0,2,0,0
833333,3,2,1,734115,0,6,0,0
714285,4,1,2,505296,0,7,0,0
800000,3,1,1,658790,1,5,0,0
1000000,4,0,0,0,0,4,0,0
1000000,3,1,0,699238,0,4,0,0
1000000,8,0,0,0,0,8,0,0
1000000,3,1,0,151006,0,4,0,0
714285,4,1,2,71392,2,7,0,1
400000,1,1,3,2211338,1,5,0,0
1000000,3,0,0,0,0,3,0,0
1000000,7,1,0,638129,0,8,0,0
625000,4,1,3,1689200,1,8,0,0
1000000,5,0,0,0,0,5,0,0
666666,1,1,1,972494,0,3,0,1
714285,5,0,2,0,2,7,0,0
125000,1,0,7,0,4,8,0,0
714285,1,4,2,1238855,2,7,0,0
1000000,7,0,0,0,0,7,0,0
875000,5,2,1,1036278,1,8,0,0
1000000,1,0,0,0,0,1,0,0
714285,2,3,2,749789,2,7,0,0
1000000,5,1,0,132223,0,6,0,0
833333,4,1,1,314800,1,6,0,0
1000000,2,1,0,114270,0,3,0,0
1000000,3,0,0,0,0,3,0,0
714285,5,0,2,0,1,7,0,0
800000,4,0,1,0,1,5,0,0
0,0,0,2,0,2,2,0,1
857142,6,0,1,0,0,7,0,0
625000,3,2,3,624432,2,8,0,0
333333,0,2,4,623716,4,6,0,0
1000000,5,1,0,765670,0,6,0,0
1000000,6,1,0,1017146,0,7,0,0
125000,0,1,7,1447675,7,8,0,1
1000000,1,0,0,0,0,1,0,0
750000,4,2,2,884209,0,8,0,0
750000,1,5,2,922584,2,8,0,0
1000000,4,0,0,0,0,4,0,0
800000,4,0,1,0,0,5,0,0
625000,3,2,3,458515,2,8,0,0
750000,3,0,1,0,0,4,0,0
857142,5,1,1,445217,0,7,0,0
833333,5,0,1,0,0,6,0,0
1000000,2,4,0,1139527,0,6,0,0
333333,1,0,2,0,0,3,0,0
1000000,6,0,0,0,0,6,0,0
857142,4,2,1,423488,0,7,0,0
800000,4,0,1,0,0,5,0,0
0,0,0,4,0,1,4,0,0
875000,6,1,1,193204,0,8,0,0
625000,5,0,3,0,3,8,1,0
1000000,3,0,0,0,0,3,0,0
833333,4,1,1,1172472,0,6,0,0
500000,1,1,2,116419,0,4,0,0
857142,4,2,1,1203394,1,7,0,1
750000,2,1,1,1847186,0,4,0,1
714285,3,2,2,1261293,2,7,0,0
875000,7,0,1,0,1,8,0,0
800000,4,0,1,0,0,5,0,0
750000,3,0,1,0,0,4,0,0
428571,3,0,4,0,3,7,0,0
1000000,5,0,0,0,0,5,0,0
1000000,8,0,0,0,0,8,0,0
600000,3,0,2,0,0,5,0,0
857142,1,5,1,779259,1,7,0,0
875000,3,4,1,1536201,0,8,3,1
1000000,0,1,0,1962837,0,1,3,1
1000000,7,0,0,0,0,7,0,1
833333,3,2,1,965145,1,6,0,0
1000000,2,2,0,1273100,0,4,0,0
1000000,2,0,0,0,0,2,0,0
714285,4,1,2,889545,0,7,0,0
750000,6,0,2,0,2,8,0,0
571428,3,1,3,125804,3,7,0,0
333333,0,2,4,1286353,4,6,0,1
875000,7,0,1,0,1,8,0,0
1000000,8,0,0,0,0,8,0,0
1000000,8,0,0,0,0,8,0,0
1000000,2,0,0,0,0,2,0,0
1000000,6,1,0,79816,0,7,0,0
800000,4,0,1,0,0,5,0,0
1000000,0,1,0,567139,0,1,0,0
1000000,5,0,0,0,0,5,0,0
625000,3,2,3,1948439,0,8,0,1
375000,2,1,5,180950,5,8,0,0
750000,2,1,1,122079,0,4,0,0
1000000,5,1,0,458735,0,6,0,0
666666,1,1,1,294905,0,3,3,0
666666,3,1,2,690251,0,6,0,0
1000000,7,1,0,380722,0,8,0,0
1000000,0,1,0,892914,0,1,0,0
1000000,2,2,0,942796,0,4,0,0
833333,4,1,1,1405117,0,6,0,0
833333,5,0,1,0,1,6,0,0
625000,4,1,3,72553,3,8,0,0
800000,1,3,1,330672,0,5,0,0
1000000,1,0,0,0,0,1,0,0
666666,4,0,2,0,1,6,0,0
1000000,6,2,0,1248578,0,8,0,0
1000000,2,0,0,0,0,2,0,0
333333,0,1,2,63010,2,3,0,0
200000,0,1,4,1641767,3,5,0,1
1000000,1,7,0,1643126,0,8,0,1
400000,0,2,3,1035220,3,5,0,1
571428,3,1,3,2236262,3,7,0,1
750000,3,0,1,0,0,4,0,0
1000000,7,0,0,0,0,7,0,0
833333,5,0,1,0,0,6,0,0
600000,2,1,2,1820189,0,5,0,0
1000000,3,0,0,0,0,3,0,0
833333,3,2,1,921694,1,6,0,0
571428,4,0,3,0,3,7,0,0
1000000,3,1,0,134105,0,4,0,0
833333,3,2,1,1401485,1,6,0,1
857142,5,1,1,1723486,1,7,0,0
875000,7,0,1,0,1,8,0,0
666666,2,0,1,0,0,3,0,0
1000000,0,1,0,1368098,0,1,0,0
1000000,1,0,0,0,0,1,0,0
666666,2,0,1,0,0,3,0,0
857142,3,3,1,193553,1,7,0,0
500000,0,3,3,1778359,3,6,0,1
571428,3,1,3,1254769,2,7,2,1
1000000,1,0,0,0,0,1,0,0
750000,1,5,2,567097,2,8,0,0
857142,6,0,1,0,0,7,0,0
857142,4,2,1,1217169,1,7,0,0
1000000,6,0,0,0,0,6,0,0
285714,1,1,5,799576,5,7,2,1
1000000,6,2,0,445170,0,8,0,0
875000,4,3,1,1313241,0,8,0,0
250000,1,0,3,0,3,4,0,0
625000,5,0,3,0,1,8,0,0
1000000,6,1,0,820326,0,7,0,0
1000000,3,0,0,0,0,3,0,0
875000,1,6,1,1477989,1,8,3,0
1000000,4,0,0,0,0,4,0,0
1000000,3,0,0,0,0,3,0,0
500000,0,1,1,2046138,1,2,0,0
714285,4,1,2,1090186,1,7,0,0
833333,5,0,1,0,0,6,0,0
1000000,3,0,0,0,0,3,0,0
1000000,5,0,0,0,0,5,0,0
600000,2,1,2,389807,1,5,0,1
750000,6,0,2,0,0,8,0,0
875000,6,1,1,497739,0,8,0,0
1000000,0,0,0,0,0,0,1,0
625000,4,1,3,294314,2,8,0,0
400000,2,0,3,0,1,5,0,0
600000,3,0,2,0,0,5,0,0
833333,3,2,1,893562,1,6,0,0
750000,3,0,1,0,0,4,0,0
1000000,1,0,0,0,0,1,0,0
285714,0,2,5,665857,5,7,0,1
800000,4,0,1,0,1,5,0,0
571428,3,1,3,249304,2,7,1,0
1000000,5,1,0,313902,0,6,0,0
800000,2,2,1,1016203,0,5,0,0
750000,2,4,2,2032932,1,8,0,0
1000000,2,1,0,970805,0,3,0,1
500000,0,1,1,644694,1,2,0,0
875000,6,1,1,215211,0,8,0,0
750000,3,3,2,1232531,2,8,0,0
1000000,4,3,0,885446,0,7,0,0
857142,6,0,1,0,1,7,0,0
1000000,2,0,0,0,0,2,0,0
1000000,2,2,0,1348447,0,4,0,0
400000,1,1,3,693122,1,5,0,1
1000000,2,0,0,0,0,2,0,0
1000000,3,1,0,337916,0,4,0,0
1000000,2,0,0,0,0,2,0,0
1000000,4,1,0,1631755,0,5,0,0
1000000,5,0,0,0,0,5,0,0
714285,3,2,2,1201247,2,7,0,0
1000000,6,0,0,0,0,6,0,0
833333,4,1,1,65968,0,6,0,0
625000,2,3,3,1129814,3,8,0,0
500000,1,3,4,687903,4,8,0,0
1000000,8,0,0,0,0,8,0,0
1000000,5,0,0,0,0,5,1,0
1000000,8,0,0,0,0,8,0,0
400000,2,0,3,0,3,5,0,0
600000,0,3,2,938224,1,5,0,0
500000,2,0,2,0,2,4,0,0
714285,5,0,2,0,0,7,0,0
750000,2,4,2,1162987,1,8,0,0
750000,2,1,1,1189945,0,4,3,0
1000000,3,0,0,0,0,3,0,0
875000,3,4,1,1532638,1,8,0,0
1000000,1,0,0,0,0,1,0,0
1000000,6,0,0,0,0,6,0,0
875000,7,0,1,0,1,8,0,0
857142,6,0,1,0,1,7,0,0
1000000,7,1,0,821545,0,8,0,0
500000,1,3,4,941264,2,8,0,0
800000,4,0,1,0,0,5,0,0
1000000,4,3,0,1697424,0,7,0,0
285714,1,1,5,314552,4,7,0,1
1000000,4,0,0,0,0,4,0,0
875000,6,1,1,1243866,1,8,0,0
1000000,0,0,0,0,0,0,0,0
875000,4,3,1,1352763,1,8,0,0
875000,4,3,1,1407465,0,8,0,0
800000,4,0,1,0,1,5,0,0
666666,0,2,1,2856100,0,3,0,1
1000000,5,0,0,0,0,5,0,0
1000000,4,2,0,966166,0,6,0,1
1000000,0,0,0,0,0,0,1,0
600000,3,0,2,0,0,5,0,0
500000,0,4,4,1239677,4,8,0,1
1000000,3,0,0,0,0,3,0,1
500000,3,0,3,0,0,6,0,0
857142,6,0,1,0,1,7,0,0
875000,4,3,1,1406537,0,8,0,0
857142,4,2,1,1924265,0,7,0,0
1000000,4,1,0,714844,0,5,0,0
857142,6,0,1,0,0,7,0,0
428571,2,1,4,505542,4,7,0,0
1000000,1,1,0,518389,0,2,0,0
1000000,7,0,0,0,0,7,0,0
857142,4,2,1,552651,1,7,0,0
875000,5,2,1,931491,1,8,0,0
0,0,0,2,0,0,2,0,0
250000,0,1,3,556859,3,4,0,0
1000000,1,1,0,1113855,0,2,0,0
800000,4,0,1,0,0,5,0,0
857142,2,4,1,1668822,1,7,0,1
1000000,6,1,0,361918,0,7,0,0
1000000,2,0,0,0,0,2,0,0
875000,5,2,1,2249111,0,8,0,1
1000000,5,1,0,239779,0,6,0,0
1000000,4,3,0,672494,0,7,0,0
1000000,8,0,0,0,0,8,0,0
625000,4,1,3,50085,0,8,0,0
800000,4,0,1,0,0,5,0,0
875000,6,1,1,826393,1,8,0,0
1000000,4,0,0,0,0,4,0,0
857142,6,0,1,0,0,7,0,0
500000,1,0,1,0,0,2,0,0
1000000,2,1,0,461078,0,3,0,0
1000000,3,0,0,0,0,3,0,0
750000,3,0,1,0,1,4,0,0
1000000,3,0,0,0,0,3,0,0
714285,5,0,2,0,1,7,0,0
714285,5,0,2,0,2,7,0,0
1000000,8,0,0,0,0,8,0,0
833333,4,1,1,295310,1,6,0,0
1000000,5,0,0,0,0,5,0,0
1000000,5,1,0,1193834,0,6,0,0
714285,4,1,2,1460823,1,7,0,0
750000,3,0,1,0,0,4,0,0
1000000,2,3,0,1607752,0,5,0,0
800000,2,2,1,2297514,1,5,0,0
1000000,7,0,0,0,0,7,0,0
1000000,4,1,0,559823,0,5,0,0
571428,1,3,3,1526576,3,7,0,1
857142,6,0,1,0,0,7,0,0
875000,7,0,1,0,0,8,0,0
1000000,6,0,0,0,0,6,0,0
1000000,7,1,0,575183,0,8,0,0
1000000,5,0,0,0,0,5,0,0
750000,3,0,1,0,0,4,0,0
1000000,5,3,0,948667,0,8,0,1
500000,1,1,2,998256,1,4,2,0
1000000,4,1,0,857394,0,5,0,0
875000,6,1,1,815922,0,8,0,0
750000,3,0,1,0,0,4,0,0
750000,3,0,1,0,0,4,0,0
1000000,1,1,0,965335,0,2,2,0
1000000,4,0,0,0,0,4,0,0
857142,5,1,1,622268,0,7,0,0
800000,2,2,1,1014148,1,5,0,1
875000,7,0,1,0,1,8,0,0
625000,0,5,3,1253037,3,8,0,0
1000000,0,0,0,0,0,0,0,0
714285,4,1,2,464629,1,7,0,0
875000,7,0,1,0,1,8,0,0
800000,4,0,1,0,1,5,0,0
666666,2,0,1,0,0,3,1,0
500000,1,1,2,312646,0,4,0,0
833333,4,1,1,631660,0,6,0,0
500000,2,0,2,0,2,4,0,0
600000,1,2,2,844214,0,5,0,0
1000000,4,1,0,920878,0,5,3,0
750000,6,0,2,0,1,8,0,0
571428,2,2,3,1732149,1,7,3,1
600000,1,2,2,1149298,0,5,0,0
1000000,8,0,0,0,0,8,0,0
1000000,3,2,0,465956,0,5,0,0
714285,3,2,2,1270996,2,7,0,0
833333,3,2,1,691129,0,6,0,0
1000000,6,1,0,685863,0,7,0,0
500000,3,1,4,662391,3,8,0,0
800000,4,0,1,0,0,5,0,0
875000,6,1,1,695138,1,8,0,0
875000,5,2,1,1763186,1,8,0,0
666666,1,1,1,2146964,0,3,0,0
666666,2,0,1,0,1,3,0,0
714285,4,1,2,738004,0,7,0,0
875000,4,3,1,2225212,0,8,0,0
666666,3,1,2,714741,0,6,0,0
833333,5,0,1,0,1,6,0,0
625000,2,3,3,2493343,2,8,0,1
833333,2,3,1,1434111,1,6,0,0
571428,4,0,3,0,3,7,0,0
1000000,7,1,0,281257,0,8,0,0
1000000,3,1,0,1276017,0,4,0,0
714285,3,2,2,1293441,2,7,0,0
571428,3,1,3,1996233,2,7,0,0
1000000,6,1,0,945381,0,7,0,0
1000000,2,1,0,1335309,0,3,1,0
500000,2,2,4,851811,4,8,0,0
714285,1,4,2,1232029,2,7,0,0
1000000,0,1,0,646723,0,1,0,0
1000000,6,0,0,0,0,6,0,0
1000000,6,1,0,188367,0,7,0,0
714285,2,3,2,2067389,1,7,0,1
1000000,4,1,0,319664,0,5,0,0
714285,5,0,2,0,1,7,0,0
833333,4,1,1,1015483,0,6,0,0
857142,4,2,1,1497031,0,7,1,1
1000000,6,1,0,28948,0,7,0,0
1000000,1,1,0,675701,0,2,0,1
1000000,6,1,0,116684,0,7,2,0
714285,0,5,2,1361632,2,7,0,0
875000,7,0,1,0,0,8,0,0
250000,0,1,3,1027673,3,4,0,0
750000,1,2,1,1919760,0,4,0,1
1000000,3,0,0,0,0,3,0,0
500000,1,1,2,844819,2,4,0,0
1000000,2,0,0,0,0,2,0,0
833333,4,1,1,131150,1,6,0,0
1000000,6,2,0,235593,0,8,0,0
800000,2,2,1,2216125,0,5,0,1
1000000,6,1,0,44487,0,7,0,0
714285,4,1,2,945279,2,7,0,0
857142,5,1,1,236595,1,7,0,0
1000000,4,1,0,301176,0,5,0,0
500000,1,1,2,1026310,0,4,0,0
1000000,3,1,0,1971136,0,4,0,1
625000,2,3,3,1920208,1,8,0,0
500000,2,0,2,0,0,4,0,0
1000000,6,0,0,0,0,6,0,0
500000,0,3,3,769345,3,6,0,0
1000000,4,0,0,0,0,4,0,0
625000,5,0,3,0,2,8,0,0
500000,2,2,4,731966,3,8,0,0
857142,4,2,1,699200,1,7,0,0
875000,4,3,1,1538555,1,8,0,0
800000,2,2,1,618024,0,5,0,0
750000,3,0,1,0,0,4,0,0
666666,4,0,2,0,0,6,0,0
500000,1,0,1,0,1,2,1,0
666666,1,1,1,2216356,0,3,1,0
666666,2,2,2,552576,0,6,0,1
666666,2,2,2,2279067,0,6,0,0
857142,4,2,1,375954,1,7,0,0
875000,4,3,1,900633,1,8,2,1
1000000,1,0,0,0,0,1,0,0
1000000,7,0,0,0,0,7,0,0
750000,2,4,2,771828,0,8,0,0
250000,1,0,3,0,0,4,0,0
1000000,5,0,0,0,0,5,0,0
800000,4,0,1,0,1,5,0,0
1000000,8,0,0,0,0,8,0,0
750000,3,3,2,1014111,2,8,3,0
714285,5,0,2,0,1,7,0,0
500000,1,2,3,1879737,3,6,0,0
750000,2,1,1,2064219,0,4,0,1
1000000,6,0,0,0,0,6,0,0
500000,2,0,2,0,0,4,0,0
833333,4,1,1,237370,1,6,0,0
1000000,4,0,0,0,0,4,0,0
666666,3,1,2,1335693,2,6,0,0
833333,5,0,1,0,1,6,2,0
857142,5,1,1,1018783,1,7,0,0
833333,5,0,1,0,0,6,0,0
500000,2,1,3,1258731,0,6,2,1
800000,1,3,1,2016043,1,5,0,1
1000000,3,0,0,0,0,3,0,0
800000,3,1,1,738236,1,5,0,1
1000000,6,2,0,778056,0,8,1,0
833333,3,2,1,948487,1,6,0,1
1000000,8,0,0,0,0,8,0,0
875000,7,0,1,0,0,8,0,0
833333,5,0,1,0,1,6,0,0
666666,4,0,2,0,1,6,3,1
750000,1,2,1,1017242,0,4,0,0
750000,2,1,1,486596,0,4,0,0
